Date,Open,High,Low,Close,Adj Close,Volume,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,decision,decision1,decision2,decision3,decision4,decision5,Bullish,Neutral,Bearish,Total,Mov Avg,Spread,Average,#NAME?,#NAME?,High.1,Low.1,Daily_Return,Cumulative_Return,Sentiment_Diff,Price_Sentiment_Interaction,Month,Decision6
2018-08-21,2861.51,2873.23,2861.32,2862.96,2862.96,3174010000,-11.73,0,11.73,7.835,6.937857143,0,0,0,0,1,0,0.361702,0.347518,0.29078,1,0.3339795,0.070922,0.375266258,0.476666611,0.273865906,2862.48,2802.49,0.002068567,1.004406399,0.070922,-4.24276446,8,1
2018-08-22,2860.99,2867.54,2856.05,2861.82,2861.82,2701250000,-1.14,0,1.14,7.835,5.796428571,1,0,0,0,1,0,0.361702,0.347518,0.29078,1,0.3339795,0.070922,0.375266258,0.476666611,0.273865906,2862.48,2802.49,-0.000398189,1.004006455,0.070922,-0.41234028,8,1
2018-08-23,2860.29,2868.78,2854.03,2856.98,2856.98,2724450000,-4.84,0,4.84,6.037142857,6.142142857,0,0,0,0,1,0,0.384615,0.344729,0.270655,0.999999,0.346496,0.11396,0.375266258,0.476666611,0.273865906,2873.23,2802.49,-0.001691231,1.002308448,0.11396,-1.8615366,8,1
2018-08-24,2862.35,2876.16,2862.35,2874.69,2874.69,2603010000,17.71,17.71,0,7.302142857,6.088571429,1,0,0,0,1,0,0.384615,0.344729,0.270655,0.999999,0.346496,0.11396,0.375266258,0.476666611,0.273865906,2873.23,2802.49,0.006198853,1.008521611,0.11396,6.81153165,8,0
2018-08-27,2884.69,2898.25,2884.69,2896.74,2896.74,2865070000,22.05,22.05,0,8.877142857,5.794285714,1,0,0,0,1,0,0.384615,0.344729,0.270655,0.999999,0.346496,0.11396,0.375266258,0.476666611,0.273865906,2873.23,2802.49,0.007670392,1.016257367,0.11396,8.48076075,8,0
2018-08-28,2901.45,2903.77,2893.5,2897.52,2897.52,2687770000,-4,0,4,9.218571429,3.819285714,0,0,0,0,1,0,0.384615,0.344729,0.270655,0.999999,0.346496,0.11396,0.375266258,0.476666611,0.273865906,2873.23,2802.49,0.000269268,1.016531013,0.11396,-1.53846,8,1
2018-08-29,2900.62,2916.5,2898.4,2914.04,2914.04,2805520000,16.52,16.52,0,8.384285714,3.819285714,1,0,0,0,1,0,0.384615,0.344729,0.270655,0.999999,0.346496,0.11396,0.375266258,0.476666611,0.273865906,2873.23,2802.49,0.005701427,1.022326691,0.11396,6.3538398,8,0
2018-08-30,2908.94,2912.46,2895.22,2901.13,2901.13,2810450000,-12.91,0,12.91,8.384285714,4.015,0,0,0,0,1,0,0.434959,0.321138,0.243902,0.999999,0.366046875,0.191057,0.375266258,0.476666611,0.273865906,2916.5,2854.03,-0.004430275,1.017797502,0.191057,-5.61532069,8,1
2018-08-31,2898.37,2906.32,2891.73,2901.52,2901.52,2887220000,0.39,0.39,0,8.412142857,2.472857143,1,0,0,0,1,0,0.434959,0.321138,0.243902,0.999999,0.366046875,0.191057,0.375266258,0.476666611,0.273865906,2916.5,2854.03,0.00013443,1.017934325,0.191057,0.16963401,8,0
2018-09-01,2896.96,2940.91,2864.12,2913.98,2913.98,63031510000,12.46,12.46,0,7.707857143,2.472857143,1,0,0,0,1,0,0.434959,0.321138,0.243902,0.999999,0.366046875,0.191057,0.375266258,0.476666611,0.273865906,2916.5,2854.03,0.004294301,1.022305641,0.191057,5.41958914,9,0
2018-09-03,2896.96,2900.18,2864.12,2871.68,2871.68,12457020000,-42.3,0,42.3,7.033571429,5.494285714,0,0,0,0,1,0,0.434959,0.321138,0.243902,0.999999,0.366046875,0.191057,0.375266258,0.476666611,0.273865906,2916.5,2854.03,-0.014516229,1.007465619,0.191057,-18.3987657,9,1
2018-09-04,2896.96,2900.18,2885.13,2896.72,2896.72,3087420000,25.04,25.04,0,8.327857143,5.494285714,1,0,0,0,1,0,0.434959,0.321138,0.243902,0.999999,0.366046875,0.191057,0.375266258,0.476666611,0.273865906,2916.5,2854.03,0.008719634,1.016250351,0.191057,10.89137336,9,0
2018-09-05,2891.59,2894.21,2876.92,2888.6,2888.6,3248780000,-8.12,0,8.12,7.067857143,6.074285714,1,0,0,0,1,0,0.434959,0.321138,0.243902,0.999999,0.366046875,0.191057,0.375266258,0.476666611,0.273865906,2916.5,2854.03,-0.00280317,1.013401628,0.191057,-3.53186708,9,1
2018-09-06,2888.64,2892.05,2867.29,2878.05,2878.05,3144240000,-10.55,0,10.55,7.067857143,5.99,0,0,0,0,0,0,0.422222,0.314815,0.262963,1,0.365011125,0.159259,0.375266258,0.476666611,0.273865906,2916.5,2876.92,-0.003652288,1.009700393,0.159259,-4.4544421,9,1
2018-09-07,2868.26,2883.81,2864.12,2871.68,2871.68,2976580000,-6.37,0,6.37,7.067857143,6.363571429,0,0,0,0,0,0,0.422222,0.314815,0.262963,1,0.365011125,0.159259,0.375266258,0.476666611,0.273865906,2916.5,2876.92,-0.002213304,1.007465619,0.159259,-2.68955414,9,1
